chunk,StateName,Crop,DistrictName,Year,Month,Day,Category,QueryType,Season,Sector
how to control yellow stem borer in paddy applied dust chloropyriphos 15kgha wuith irrigation water,Madhya Pradesh,1137,Balaghat,2006,1,17,0,3,Rabi,Agriculture
how to control aphids in groundnut should be spray metasystox 35mlpump,Madhya Pradesh,Groundnut Pea Nutmung Phalli,Balaghat,2006,1,17,0,3,Rabi,Agriculture
how to control flower drop in papaya should be spray planofix 3-5mlpump,Madhya Pradesh,1324,Balaghat,2006,1,17,0,102,Rabi,Horticulture
how to control diesase in buffalo contect at nearest animal jospital,Madhya Pradesh,964,Balaghat,2006,1,17,0,38,Rabi,Animal Husbandry
how to control leaf curl in tomato should be spray imidacloprid 35mlpump,Madhya Pradesh,2108,Betul,2006,1,17,0,76,Rabi,Horticulture
whast is the ontrol of the tobbacco catter pillar in the soybean apply the trizophos 250 ml per acre,Madhya Pradesh,Soybean Bhat,Chhindwara,2006,1,17,0,3,Jayad,Agriculture
what is the control of fruit dropping in mango apply to you spray of planofix 5 mlpump,Madhya Pradesh,1268,Seoni,2006,1,17,0,75,Rabi,Horticulture
how to control yellowvein mosaic of bhindi sprey metasistox15mlpump,Madhya Pradesh,1282,Bhind,2006,1,17,0,75,Rabi,Horticulture
how to control sucking pest in moong should be spray metasystox 35mlpump,Madhya Pradesh,1064,Gwalior,2006,1,17,0,3,Rabi,Agriculture
how to control of shoot borer in maize spray dltamethrin 35mlpump,Madhya Pradesh,1075,Shivpuri,2006,1,17,0,3,Jayad,Agriculture
how to control termite in wheat field use chlorpyrephos1lithactwhit the help of irrigation water,Madhya Pradesh,Wheat,Shivpuri,2006,1,17,0,3,Rabi,Agriculture
flowr inducer sptay in soyabean spray vipul 15 ml pump,Madhya Pradesh,Soybean Bhat,Guna,2006,1,17,0,26,Jayad,Agriculture
how to control of green gram mosaic spray imidacloprid 5 ml pump,Madhya Pradesh,Green Gram Moong Bean Moong,Vidisha,2006,1,17,0,3,Jayad,Agriculture
what is the control of the gram pod borer spray insecticides like polytrin c 44 ec 1000 mlhaor profenophos 50 ec 1500 mlhaor spark 36 ec at the rate of 1000 mlhaor chlorpyriphos 20 ec 200 ml acephate 100 mlha,Madhya Pradesh,Wheat,Morena,2006,1,17,0,3,Nan,Agriculture
what is the important varieties of the potato for the madhya pradesh kufari kisan and kufari chandan are the important varieties of the potato for the madhya pradesh,Madhya Pradesh,Potato,Morena,2006,1,17,0,5,Nan,Agriculture
what is the control of the borer dusting with endosulfan 4 or fanvalerate 04 or quinolphos 15 25 to 30 kgha spray with endosulfan 35 ec 1200 mlha or quinolphos 25 ec 10 litha in case of severe infestation apply profenophos cypermethrin 44 ec 1litha,Madhya Pradesh,Garlic,Morena,2006,1,17,0,3,Nan,Agriculture
what is the control of the semilooper profenophos 50 ec 1500 mlhaor spark 36 ec at the rate of 1000 mlhaor chlorpyriphos 20 ec 200 ml acephate 100 mlha,Madhya Pradesh,Cabbage,Morena,2006,1,17,0,76,Nan,Horticulture
how to control flower drop in bottle gourd should be spray planofix 7mlpump,Madhya Pradesh,1275,Shajapur,2006,1,17,0,99,Rabi,Horticulture
how to control yellow moisac in moong spraying for dimethod 750-1000mlha,Madhya Pradesh,1064,Ratlam,2006,1,17,0,3,Rabi,Agriculture
how to control pumkin beetle in cucumber should be spray profenophos 35mlpump,Madhya Pradesh,2114,Mandsaur,2006,1,17,0,76,Rabi,Horticulture
how to control thrips in chilli should be spray dimethod 35mlpump,Madhya Pradesh,1280,Mandsaur,2006,1,17,0,76,Rabi,Horticulture
what are control of cotton white fly spray imidacloprid 5 ml pump,Madhya Pradesh,Cotton Kapas,Mandsaur,2006,1,17,0,3,Jayad,Agriculture
how to control white fly in brinjal should be spray metasystox 35mlpump,Madhya Pradesh,1279,Mandsaur,2006,1,17,0,76,Rabi,Horticulture
how to control fruit borer in bitter gourd should be spray profenophos 35mlpump,Madhya Pradesh,2113,Mandsaur,2006,1,17,0,76,Rabi,Horticulture
how to control leaf curl in tomato should be spray metasystox 35mlpoump,Madhya Pradesh,2108,Mandsaur,2006,1,17,0,76,Rabi,Horticulture
what is the important varieties of the coriander for the madhya pradesh gujrat dhaniya one and gujrat dhaniya two are the good varieties of the dhaniya for the madhya pradesh,Madhya Pradesh,Coriander,Mandsaur,2006,1,17,0,5,Nan,Agriculture
how to control sucking pest in cowpea should be spray dimethod 35mlpump,Madhya Pradesh,1818,Mandsaur,2006,1,17,0,3,Rabi,Agriculture
how to control fruit borer in bitter gourd should be spray profenophos 35mlpump,Madhya Pradesh,2113,Mandsaur,2006,1,17,0,76,Rabi,Horticulture
variety of onion pusa rednasik red,Madhya Pradesh,Onion,Dewas,2006,1,17,0,78,Rabi,Horticulture
how to control aphidjassid and thrips in cotton apply to you spray of immidachloroprid 15 mlpump of crop for control its,Madhya Pradesh,Cotton Kapas,Dewas,2006,1,17,0,3,Jayad,Agriculture
what are varieties of maize sown on varieties ganga-5 deccan-101naveen and jyoti etc,Madhya Pradesh,1075,Dewas,2006,1,17,0,5,Rabi,Agriculture
how to control hopper in mango should be spray dimethod 35mlpump,Madhya Pradesh,1268,Dewas,2006,1,17,0,76,Rabi,Horticulture
how to control aphids in coriander should be spray metasystox 35mlpump,Madhya Pradesh,Coriander,Indore,2006,1,17,0,3,Rabi,Agriculture
what are control of cotton aphids spray imiacloprid 5 ml pump,Madhya Pradesh,Cotton Kapas,Indore,2006,1,17,0,3,Jayad,Agriculture
how to increase milk production of cow you can give gylox powder 100 gram in a day for increase milk production of cow,Madhya Pradesh,Bovinecowbuffalo,Indore,2006,1,17,0,Dairy Production,Rabi,Animal Husbandry
how to control fruit drop in jackfruit apply to you spray of planofix 5 mlpump for control its,Madhya Pradesh,1996,Indore,2006,1,17,0,75,Jayad,Horticulture
what are control of sorghum stem borer spray trizophose 40 ml pump,Madhya Pradesh,1576,Indore,2006,1,17,0,3,Jayad,Agriculture
chilli flower dropping control spray planofix 15 ml pump,Madhya Pradesh,Chillies,West Nimar,2006,1,17,0,99,Jayad,Horticulture
control chilli leaf curling spray acetamiprid 5 ml pump,Madhya Pradesh,Chillies,Dhar,2006,1,17,0,76,Jayad,Horticulture
how to brackout wheat stra in field you drive to herro i field,Madhya Pradesh,Others,Dhar,2006,1,17,0,76,Rabi,Horticulture
what is the control of yellow mosaic in bhindi apply to you spray monocrotophos 30 mlpump,Madhya Pradesh,1282,Jhabua,2006,1,17,0,75,Rabi,Horticulture
how to control of fruit borer in brinjal spay for profenophos 35mlpump,Madhya Pradesh,1279,Rewa,2006,1,17,0,76,Jayad,Horticulture
potato seed sowing sow in oct- nov,Madhya Pradesh,1296,Rewa,2006,1,17,0,74,Jayad,Horticulture
how to control becterial blight in tomato should be spray metasystox 35mlpump,Madhya Pradesh,2108,Rewa,2006,1,17,0,76,Rabi,Horticulture
how to control flower drop in brinjal sprey planofix4mlpump,Madhya Pradesh,1279,Rewa,2006,1,17,0,99,Rabi,Horticulture
how to control sucking pest in urd should be spray deltamethrin 25mlpump,Madhya Pradesh,Black Gram Urd Bean,Satna,2006,1,17,0,3,Rabi,Agriculture
what is the control of fruit and shoot bore in bhindi you can carbyrl dust 20-25 kg in a hactare for control its,Madhya Pradesh,1282,Shahdol,2006,1,17,0,76,Rabi,Horticulture
what is til white fly control spray acetamiprid 5 ml pump,Madhya Pradesh,Oil Palm,Datia,2006,1,17,0,3,Jayad,Agriculture
how to control fruit drop in jackfruit apply to you spray of planofix 5 mlpump for control its,Madhya Pradesh,1996,Datia,2006,1,17,0,75,Jayad,Horticulture
what is sowing time of bishops weed octumber to november are suitable time of bishops weed,Madhya Pradesh,Others,Chhatarpur,2006,1,17,0,102,Rabi,Horticulture
what is the control of the soybean aphid spray 001 endosulphan 35 ec or 005 quinalphos 25 ec or 001 malathionor spray monocrotophos 36 sc oxydemeton methyl metasystox 25 ec or dimethoate rogor 30 ec 10-12 ml in 10 i water 750 -1000 i sprayha at the crop age of 35-40 days and repeat after 15 days if needed,Madhya Pradesh,1808,Panna,2006,1,17,0,3,Nan,Agriculture
how to control of naerosis in soybean should be apply spray mancozeb mlpump,Madhya Pradesh,Soybean Bhat,Sehore,2006,1,17,0,2,Jayad,Agriculture
what is give you information fuit borer controller of binjal tryzophos-30mlpump spray crop in brinjal,Madhya Pradesh,1279,Sehore,2006,1,21,0,76,Jayad,Horticulture
how to control becterial blight in brinjal applied vavistin 15kgha with irrigation water,Madhya Pradesh,1279,Raisen,2006,1,17,0,75,Rabi,Horticulture
what is the control of the gram cutworm deltamethrin 28 ec 750 mlhaor quinalphos 25 ec 1000 mlhaorin case of severe infestation spray insecticides like polytrin c-44 ec 1000 mlha,Madhya Pradesh,Potato,Katni,2006,1,17,0,3,Nan,Agriculture
what is the control of purple blotches in onion you can spray of mencozeb 20-25 mlpump of crop for control its,Madhya Pradesh,Onion,Katni,2006,1,17,0,75,Rabi,Horticulture
what is the control of the bihar hairy caterpillar spilosoma obliqua trizophos 40 ec 08 lithaor quinolphos 25 ec 15 lithaor methomyl 40 sp 100ghaor ethion 50 ec 15 litha,Madhya Pradesh,Wheat,Katni,2006,1,17,0,3,Nan,Agriculture
what is the control of the tobacco caterpillar spodoptera litura quinolphos 25 ec 1000mlhaor ethofenprox 10 ec 1000mlha in case of severe infestation apply polytrin 44 1 litha or profenophos 50 ec 200 litha always use hollow cone noozle for spraying dust endosulfan 4 or quinalphos 15 25kgha when their population is likely to reach 10m row length etl repeat it as eeded,Madhya Pradesh,Soybean Bhat,Katni,2006,1,17,0,3,Nan,Agriculture
how to control leaf curl in onion spraying for dimethod 35mlpump,Madhya Pradesh,Onion,Umaria,2006,1,17,0,76,Rabi,Horticulture
what is the control of the fruit borer spray insecticides like polytrin c 44 ec 1000 mlhaor profenophos 50 ec 1500 mlhaor spark 36 ec at the rate of 1000 mlhaor chlorpyriphos 20 ec 200 ml acephate 100 mlha,Madhya Pradesh,1279,Neemuch,2006,1,17,0,76,Nan,Horticulture
what is the important varieties of the moong for the madhya pradesh pant moong one and pant moong two are the good varieties of the moong for the madhya pradesh,Madhya Pradesh,1064,Neemuch,2006,1,17,0,5,Nan,Agriculture
how to increase milk production of buffalo you can give gylox powder 100 gram in a day for increase milk production of buffalo,Madhya Pradesh,964,Neemuch,2006,1,17,0,Dairy Production,Jayad,Animal Husbandry
provide me fishries farming information 0755-2552082 fishries department bhopal for more detail information,Madhya Pradesh,1976,Neemuch,2006,1,17,0,61,Jayad,Fisheries
what is the control of the thrips spray monocrotophos 36 sc oxydemeton methyl metasystox 25 ec or dimethoate rogor 30 ec 10-12 ml in 10 i water 750 -1000 i sprayha at the crop age of 35-40 days and repeat after 15 days if needed,Madhya Pradesh,1808,Neemuch,2006,1,17,0,3,Nan,Agriculture
what is the control of the white fly spray 001 endosulphan 35 ec or 005 quinalphos 25 ec or 001 malathionor spray monocrotophos 36 sl oxydemeton methyl metasystox 25 ec or dimethoate rogor 30 ec 10-12 ml in 10 i water 750 -1000 i sprayha at the crop age of 35-40 days and repeat after 15 days if needed,Madhya Pradesh,Coriander,Neemuch,2006,1,17,0,3,Nan,Agriculture
what is give you infomation aphid controller of green gram immidacloprid-15mlpump spray crop in green gram,Madhya Pradesh,Green Gram Moong Bean Moong,Neemuch,2006,1,21,0,3,Jayad,Agriculture
what is give you information catter pillar controller of cotton melathion-30mlpump spray crop in cotton,Madhya Pradesh,Cotton Kapas,Neemuch,2006,1,21,0,3,Jayad,Agriculture
what is give you information damping off controller of bottole gourd dithane m-4520gpump spray cop in bottole gourd,Madhya Pradesh,1275,Neemuch,2006,1,21,0,76,Jayad,Horticulture
fruit borer of brinjal spray endosulphan 35 ec 15 mllt of water,Bihar,1279,Patna,2007,1,5,0,76,Kharif,Horticulture
askijng about cultivation of cowpea answer given detail to farmer,Bihar,1818,Siwan,2007,1,20,0,Cultural Practices,Rabi,Agriculture
varities of scented rice pusa basmatisugandhakamini,Bihar,2763,Sitamarhi,2007,6,2,0,5,Jayad,Agriculture
fertilizer doses of coconut fertilizer are npk 122 kgplant,Bihar,Coconut,Samastipur,2007,1,5,0,Fertilizer Use And Availability,Kharif,Horticulture
varieties of moong varieties are pusa vishalsonasamarst ps-16 etc,Bihar,1064,Samastipur,2007,1,5,0,5,Kharif,Agriculture
asking about seed rate of kharif bhindi bhawani krishnaindranilanokhi,Bihar,1282,Samastipur,2007,1,8,0,92,Jayad,Horticulture
stem borer of maize dusting with carbofuran 3 g 7 kghect,Bihar,1075,Khagaria,2007,1,5,0,3,Kharif,Agriculture
weather condation in khagaria answer given to detail,Bihar,Others,Khagaria,2007,1,5,0,Weather,Kharif,Agriculture
varieties of tomato varieties are north amrit-501601bss-422pusa hybrid-1arka vikashpusa gaurav labonitapanjab chhuharkanchan and seed rate are 500-700gmhect and disstance diterminat variety 6045 and inditerminate variety is 6050cm hybrid seed rate 400-500gmhect,Bihar,Tomato,Bhagalpur,2007,1,20,0,78,Rabi,Horticulture
fruit cracking in mango spray borex 2 gmlit water,Bihar,1268,Munger,2007,5,23,0,75,Rabi,Horticulture
weather condition of katihar dist answer given to farmer by internet,Bihar,Others,Katihar,2007,1,20,0,Weather,Nan,Horticulture
asking about fruit borer in bhindi spray endosulphon 2mllit of water,Bihar,1282,Araria,2007,1,20,0,76,Rabi,Horticulture
sowing time march - april sowing time are march - april,Bihar,1064,Muzaffarpur,2007,1,5,0,12,Kharif,Agriculture
fruit borer of brinjal spray endosulphan 35 ec 15 mllt of water,Bihar,1279,Muzaffarpur,2007,1,5,0,76,Kharif,Horticulture
asking about varities of maize varities are having shaktiman-12 suwandewaki,Bihar,1075,Muzaffarpur,2007,5,28,0,5,Jayad,Agriculture
safflower hybrids sarpan hybrids recomended,Karnataka,Safflower Kusumkardi,Bangalore,2007,1,1,0,5,Nan,Agriculture
blight coc 2gpl,Karnataka,Ginger,Hassan,2007,1,8,0,75,Nan,Horticulture
babycorn hybrids advanta hybrids recomended,Karnataka,Baby Corn,Shimoga,2007,1,2,0,78,Nan,Horticulture
stem borer of sugarcane drench the chloropyriphos methyl demetom 20 ml10 ltr water each in furrow,Maharashtra,Sunnhemp Patua,Nasik,2007,1,1,0,3,Rabi,Agriculture
control measures against red spider mites maintain field sanitationplant debris after pruning should be destroyeddifferent neem formulations containing azadirachtin depending upon strength of botanical viz1 20ml and 5 05 mll can be sprayedspray following chemical insecticides insecticide dose pre-harvest interval dicofol 185 ec 25 mll 100 days fenpyroximate 5ec 10mll 60 days difenthiuron 50ec 08 mll 45 days sulphur 80wp 200gl 15 days abamectin 19 ec 030mll 7 days azadirachtin1 200 mll 3 days,Maharashtra,Grape,Nasik,2007,1,1,0,76,Kharif,Horticulture
planting time of rose jully-august,Maharashtra,Rose,Nasik,2007,1,13,0,85,Nan,Horticulture
sowing season of watermelon jan-feb,Maharashtra,Watermelon,Dhule,2007,1,13,0,74,Nan,Horticulture
contact details for training 2358238123522368 23272332236623442344 2346235523602379234223252352 2346238123522325235423812346 2309234323672325236623522368 234223812357236623522366 233223672354238123612366 231323422381235123792327 232523752306234223812352 23322350234423662327236723522368 235223792337 2343236923552375 - 424001 phno02562-246292,Maharashtra,Bovinecowbuffalo,Dhule,2007,1,14,0,36,Nan,Animal Husbandry
reddning in cotton spray 100gm magnesium sulphate 50gm urea in 10lit of water spray 2 dap at boll development stage,Maharashtra,Cotton Kapas,Dhule,2007,1,14,0,29,Kharif,Agriculture
control for leaf curl alternate spray of dicofol 25 mllit of water followed by wettable sulphur 025 to avoid resistance development two spray of systemic insecticide is essential for control of thrips and insect vector,Maharashtra,1280,Jalgaon,2007,1,1,0,75,Kharif,Horticulture
attack of fruit borar spray 25ml sypermetrin in 10lt of water,Maharashtra,1279,Jalgaon,2007,1,13,0,76,Nan,Horticulture
attack of thrips on cotton spraying of emida croplid 5 ml in 10 lit of water,Maharashtra,Cotton Kapas,Jalgaon,2007,1,14,0,3,Kharif,Agriculture
cultivation details given all required information,Maharashtra,Ginger,Ahmadnagar,2007,1,1,0,87,Jayad,Horticulture
arhid on brinjal spraying of emidacloprid,Maharashtra,1279,Ahmadnagar,2007,1,1,0,Agriculture Mechanization,Nan,Horticulture
blight on onion copper oxycloride25ml10lit of water,Maharashtra,Onion,Ahmadnagar,2007,1,1,0,Agriculture Mechanization,Nan,Horticulture
ask fertlizers dose of onion fertlizers dose of onion 151515 135 kg urea 45 kg acre,Maharashtra,Onion,Ahmadnagar,2007,1,13,0,Fertilizer Use And Availability,Kharif,Horticulture
varieties of tamato arka alokpusa shitalrajshribhagshri etc,Maharashtra,2108,Ahmadnagar,2007,1,13,0,78,Nan,Horticulture
fertilizer dose for onion apply 135kg suphala45kg ujjwala per acre,Maharashtra,Onion,Ahmadnagar,2007,1,13,0,Fertilizer Use And Availability,Nan,Horticulture
control against pod borer spray nske 5 twice followed by triazophos 005 apply any one of insecticides at 25 kgha endosulfan 4d quinalphos 4d carbaryl 5d,Maharashtra,1037,Ahmadnagar,2007,1,14,0,2,Kharif,Agriculture
leaf blight spray the crop with mancozeb or zineb at 15 kgha,Maharashtra,Wheat,Ahmadnagar,2007,1,14,0,2,Kharif,Agriculture
cultivation details given all required information,Maharashtra,Teak,Pune,2007,1,14,0,87,Nan,Horticulture
sowing season of cucumber oct-novjan-feb,Maharashtra,2114,Satara,2007,1,13,0,74,Nan,Horticulture
flower dropping spray planofix 5ml10liter of water,Maharashtra,1268,Sangli,2007,1,13,0,100,Rabi,Horticulture
blight of onion spray copper oxychloride 25gm streptocycline 1 gm in 10 ltr water take second spraying after 15 days containing bavistin and streptocycline 25 gm and 1 gm respectively in 10 ltr water,Maharashtra,Onion,Kolhapur,2007,1,1,0,75,Rabi,Horticulture
ask micronutrent on watermelon spraying of microla 25 ml in 20 ml humic acid in 10 lit of water,Maharashtra,Watermelon,Kolhapur,2007,1,14,0,Fertilizer Use And Availability,Rabi,Horticulture
blight on onion copper oxycloride25ml10lit of water,Maharashtra,Onion,Aurangabad,2007,1,1,0,Agriculture Mechanization,Nan,Horticulture
control measure for onion blight spray copper oxychloride 25gm streptocycline 1 gm in 10 ltr water take second spraying after 15 days containing bavistin and streptocycline 25 gm and 1 gm respectively in 10 ltr water,Maharashtra,Onion,Aurangabad,2007,1,1,0,75,Kharif,Horticulture
when should be harwest watermelon watermelon should be harwest 3-35month after sowing,Maharashtra,Watermelon,Aurangabad,2007,1,13,0,84,Nan,Horticulture
ask with on maize dranching of bavistin 25 gm in 10 lit of water,Maharashtra,1075,Jalna,2007,1,13,0,2,Kharif,Agriculture
varieties of shimala mirch apply arka mohinigouravvasantgreen gold,Maharashtra,Capsicum,Jalna,2007,1,20,0,78,Kharif,Horticulture
sowing time of gram 20 october - 8 november,Maharashtra,1037,Jalna,2007,1,20,0,1,Kharif,Agriculture
sowing time of zaid season groundnut 15 january - 15 february,Maharashtra,Groundnut Pea Nutmung Phalli,Parbhani,2007,1,2,0,1,Kharif,Agriculture
market rate for cotton max5291 min5000 avg5100rsqt,Maharashtra,Cotton Kapas,Beed,2007,1,1,0,6,Nan,Agriculture
varieties of brinjal krushnaruchiraarunapusa kranti,Maharashtra,1279,Beed,2007,1,14,0,78,Rabi,Horticulture
dissconected dissconected,Maharashtra,Others,Beed,2007,1,20,0,29,Kharif,Agriculture
control measure for tur pod borer spray quinolphosh 25ec20ml10litof water,Maharashtra,Pigeon Pea Red Gramarhartur,Nanded,2007,1,2,0,3,Jayad,Agriculture
reddning in cotton spray 100gm magnesium sulphate 50gm urea in 10 lit of water,Maharashtra,Cotton Kapas,Nanded,2007,1,14,0,29,Kharif,Agriculture
redning of cotten apply mg sulphate,Maharashtra,Cotton Kapas,Nanded,2007,1,19,0,Plant Protection,Nan,Agriculture
aphid on jawar spraying of emidaclprid,Maharashtra,2051,Osmanabad,2007,1,1,0,Agriculture Mechanization,Nan,Agriculture
attack of thrips on cotton spraying of emida cropid 5 ml in 10 lit of water,Maharashtra,Cotton Kapas,Osmanabad,2007,1,14,0,3,Kharif,Agriculture
weedicide for wheat spraying of isoprotoron weedicide,Maharashtra,Wheat,Latur,2007,1,1,0,Agriculture Mechanization,Nan,Agriculture
infection of tambera in wheat spraying of mancozeb 25 gm in 10 lit of water,Maharashtra,Wheat,Latur,2007,1,13,0,2,Kharif,Agriculture
control for leaf blight spray the crop with mancozeb or zineb at 15 kgha,Maharashtra,Wheat,Buldana,2007,1,1,0,2,Kharif,Agriculture
blight on onion copper oxycloride25ml10lit of water,Maharashtra,Onion,Buldana,2007,1,1,0,Agriculture Mechanization,Nan,Horticulture
attack of fruit borar spray 2ml sypermetrin in 10lt of water,Maharashtra,1280,Buldana,2007,1,13,0,76,Nan,Horticulture
yellowing of leaves spray microlla 25ml10liter of water,Maharashtra,Onion,Buldana,2007,1,13,0,100,Rabi,Horticulture
infection of blight on onion spraying of coc 25 gm in 10 lit of water,Maharashtra,Onion,Buldana,2007,1,14,0,75,Kharif,Horticulture
infection of blight on onion spraying of coc 25 gm in 10 lit of water,Maharashtra,Onion,Buldana,2007,1,14,0,75,Kharif,Horticulture
market rate of cotton average rate is rs 5600qtl,Maharashtra,Cotton Kapas,Buldana,2007,1,26,0,6,Kharif,Agriculture
control measure for tur pod borer spray quinolphosh 25ec20ml10litof water,Maharashtra,1066,Amravati,2007,1,2,0,3,Kharif,Agriculture
varieties of bhindi arka anamikaarka abhaypusa sawanipanjab-7 etc,Maharashtra,1282,Amravati,2007,1,13,0,78,Nan,Horticulture
varities of groundnut tag -24sb-11m-13tg-26,Maharashtra,Groundnut Pea Nutmung Phalli,Amravati,2007,1,14,0,5,Kharif,Agriculture
market price of wheat 1375 - 1400 rs quintal,Maharashtra,Wheat,Yevatmal,2007,1,1,0,6,Nan,Agriculture
red leaf of cotton spray 50gm urea100gm magnesium in 10lt of water,Maharashtra,Cotton Kapas,Yevatmal,2007,1,13,0,2,Nan,Agriculture
attack of thrips on chilli spraying of rogar 15 ml in 10 lit of water,Maharashtra,1280,Yevatmal,2007,1,14,0,76,Kharif,Horticulture
infection of brinjal spraying of coc 25 gm in 10 lit of water,Maharashtra,1279,Yevatmal,2007,1,14,0,76,Kharif,Horticulture
control measure for tur pod borer spray quinolphosh 25ec20ml10litof water,Maharashtra,Pigeon Pea Red Gramarhartur,Wardha,2007,1,2,0,3,Kharif,Agriculture
